"justiceName","term","id","justice","Robust_mean","Robust_975","Robust_025","Dynamic_mean","Dynamic_975","Dynamic_025","MQ_mean","MQ_sd","MQ_median","MQ_025","MQ_975"
"BRWhite",1963,"BRWhite-1963",95,-0.291326525959756,0.0755372928871778,-0.674334755714247,-0.305507592212045,0.0777592526790537,-0.708697147608802,-0.151,0.154,-0.15,-0.453,0.144
"BRWhite",1964,"BRWhite-1964",95,-0.254528999189982,0.138145722693958,-0.660774086239065,-0.301589684152667,0.149895946280677,-0.733237434046972,-0.167,0.189,-0.166,-0.545,0.194
"BRWhite",1965,"BRWhite-1965",95,-0.207811004649365,0.173906971900547,-0.589254124493884,-0.272377887756105,0.132996395736661,-0.691033117569836,-0.178,0.172,-0.178,-0.515,0.155
"BRWhite",1966,"BRWhite-1966",95,-0.0447440442259394,0.328534309201708,-0.424618779146042,-0.0937700377871654,0.286321194291446,-0.46291530733707,-0.02,0.151,-0.02,-0.316,0.276
"BRWhite",1967,"BRWhite-1967",95,0.106223104856851,0.467980161280473,-0.244242228508124,0.138641422908154,0.496276319821009,-0.224530894001225,0.245,0.144,0.243,-0.032,0.528
"BRWhite",1968,"BRWhite-1968",95,0.017083148545754,0.43694020205331,-0.407272631269518,0.0053181071890802,0.446616755034525,-0.435284652550371,0.067,0.17,0.065,-0.262,0.399
"BRWhite",1969,"BRWhite-1969",95,0.162499981458065,0.646948280888488,-0.318144291778636,0.21113752858593,0.626904955427045,-0.205777940736505,0.103,0.174,0.101,-0.231,0.45
"BRWhite",1970,"BRWhite-1970",95,0.728404726417008,1.21741831414669,0.277562116807141,0.684436676625239,1.11805472971565,0.27200546201001,0.477,0.173,0.473,0.146,0.828
"BRWhite",1971,"BRWhite-1971",95,0.921260269870489,1.37084262103971,0.512868954508226,0.910355307229494,1.3308144144832,0.504225388693741,0.665,0.166,0.663,0.346,0.994
"BRWhite",1972,"BRWhite-1972",95,1.21411539527202,1.68182377248704,0.820374717351405,1.20613576252586,1.61113345024625,0.815367918537658,0.989,0.172,0.983,0.667,1.336
"BRWhite",1973,"BRWhite-1973",95,0.960789230688538,1.364906221081,0.571292143348472,0.883695751951852,1.27690365453771,0.496871252303205,0.573,0.158,0.569,0.271,0.899
"BRWhite",1974,"BRWhite-1974",95,0.943730801347864,1.35346892873339,0.560433326227776,0.88320220077648,1.31758648639534,0.474052178631651,0.616,0.179,0.609,0.275,0.976
"BRWhite",1975,"BRWhite-1975",95,0.789148898189871,1.19866741919091,0.422909297617049,0.75697358086126,1.16983887308971,0.35356091195691,0.498,0.157,0.493,0.202,0.812
"BRWhite",1976,"BRWhite-1976",95,0.596662427778114,1.0439597774768,0.200224753807665,0.562068449479968,0.954516836068186,0.19238235697883,0.354,0.153,0.353,0.056,0.658
"BRWhite",1977,"BRWhite-1977",95,0.204021194488838,0.609584336935162,-0.193556088143736,0.159380621027745,0.583668084427982,-0.236607626318457,-0.002,0.162,-0.002,-0.319,0.317
"BRWhite",1978,"BRWhite-1978",95,0.157858354555322,0.526945645196133,-0.230118293923337,0.0913108353499374,0.484496127726923,-0.287691838330406,-0.047,0.155,-0.046,-0.355,0.253
"BRWhite",1979,"BRWhite-1979",95,0.33077779046433,0.699243283135214,-0.0148291958931504,0.324587229444066,0.696698884692175,-0.0401335889730928,0.216,0.151,0.215,-0.076,0.513
"BRWhite",1980,"BRWhite-1980",95,0.352492730174312,0.73798679000192,-0.0202926802378879,0.335769519644517,0.746044779608857,-0.0586786893829366,0.171,0.162,0.17,-0.138,0.491
"BRWhite",1981,"BRWhite-1981",95,0.395136451637439,0.801562206957717,-0.00387086223294038,0.393205203941011,0.789722562554505,-0.0011443631854412,0.184,0.154,0.181,-0.108,0.492
"BRWhite",1982,"BRWhite-1982",95,0.924872940141953,1.44039825089948,0.455587182921159,0.842351792761879,1.25807019087398,0.430278030781405,0.598,0.168,0.596,0.278,0.936
"BRWhite",1983,"BRWhite-1983",95,1.21394157758935,1.71027048357608,0.754221457791738,1.1595248218939,1.63057391175327,0.714499093413795,0.815,0.179,0.811,0.474,1.17
"BRWhite",1984,"BRWhite-1984",95,1.4422416675128,1.95599488396115,0.940672633806525,1.40725830050141,1.91147479911869,0.937983275667778,0.997,0.199,0.993,0.617,1.401
